Colony,Mites,Bees,Percent
F1,2,222,0.9
F2,27,264,10.2
F3,11,264,4.2
F4,15,200,7.5
F5,12,294,4.1
F6,0,107,0.0
F7,3,277,1.1
F8,4,284,1.4
F9,10,224,4.5
F10,21,264,8.0
F11,18,196,9.2
F12,11,269,4.1
F13,12,99,12.1
F14,35,262,13.4
F15,1,290,0.3
F16,5,283,1.8
F17,8,280,2.9
F18,6,292,2.1
F19,1,288,0.3
P1,1,370,0.3
P2,3,409,0.7
P3,2,241,0.8
P4,2,290,0.7
P5,22,299,7.4
P7,0,342,0.0
P9,1,300,0.3
P10,17,298,5.7
P11,3,323,0.9
P12,4,213,1.9
P13,7,294,2.4
P14,2,225,0.9
P15,1,233,0.4
P16,30,276,10.9
P17,16,249,6.4
C1,5,264,1.9
C2,8,218,3.7
C3,8,218,3.7
C4,1,247,0.4
C5,4,319,1.3
C6,2,264,0.8
C7,0,355,0.0
C8,2,284,0.7
C9,1,293,0.3
C10,3,268,1.1
C12,3,228,1.3
C13,1,168,0.6
C14,23,288,8.0
C15,2,255,0.8
C16,1,293,0.3
C17,6,276,2.2
C18,30,198,15.2
C19,1,337,0.3
C20,2,197,1.0
C21,10,212,4.7
C22,9,266,3.4
