Colony,Treatment,Yard,Survived
C1,OAV,Circle,1
C10,CTRL,Circle,1
C11,OAV,Circle,0
C12,CTRL,Circle,1
C13,OAV,Circle,1
C14,CTRL,Circle,1
C15,OAV,Circle,1
C16,CTRL,Circle,1
C17,OAV,Circle,1
C18,CTRL,Circle,1
C19,CTRL,Circle,1
C2,CTRL,Circle,1
C20,CTRL,Circle,1
C21,CTRL,Circle,1
C22,CTRL,Circle,1
C3,OAV,Circle,1
C4,CTRL,Circle,1
C5,OAV,Circle,1
C6,CTRL,Circle,1
C7,OAV,Circle,1
C8,CTRL,Circle,1
C9,OAV,Circle,1
F1,OAV,Farm,1
F10,CTRL,Farm,1
F11,OAV,Farm,1
F12,CTRL,Farm,1
F13,OAV,Farm,1
F14,CTRL,Farm,1
F15,OAV,Farm,1
F16,OAV,Farm,1
F17,OAV,Farm,1
F18,CTRL,Farm,1
F19,CTRL,Farm,1
F2,CTRL,Farm,1
F3,OAV,Farm,1
F4,CTRL,Farm,1
F5,OAV,Farm,1
F6,OAV,Farm,1
F7,OAV,Farm,1
F8,CTRL,Farm,1
F9,OAV,Farm,1
P1,OAV,Pond,1
P10,CTRL,Pond,1
P11,OAV,Pond,1
P12,CTRL,Pond,1
P13,OAV,Pond,1
P14,CTRL,Pond,1
P15,OAV,Pond,1
P16,CTRL,Pond,1
P17,OAV,Pond,1
P2,CTRL,Pond,1
P3,OAV,Pond,1
P4,CTRL,Pond,1
P5,OAV,Pond,1
P7,CTRL,Pond,1
P9,OAV,Pond,1
